Year,Semester,Semester_Date,Count,Department
2016,Spring,4/1/16,7,Chem
2016,Fall,9/1/16,10,Chem
2017,Winter,1/1/17,21,Chem
2017,Spring,4/1/17,8,Chem
2017,Fall,9/1/17,12,Chem
2018,Winter,1/1/18,16,Chem
2016,Spring,4/1/16,27,CSEE
2016,Fall,9/1/16,15,CSEE
2017,Winter,1/1/17,13,CSEE
2017,Spring,4/1/17,18,CSEE
2017,Fall,9/1/17,7,CSEE
2018,Winter,1/1/18,11,CSEE
2016,Spring,4/1/16,0,DCM
2016,Fall,9/1/16,1,DCM
2017,Winter,1/1/17,1,DCM
2017,Spring,4/1/17,2,DCM
2017,Fall,9/1/17,0,DCM
2018,Winter,1/1/18,1,DCM
2016,Spring,4/1/16,4,GEO
2016,Fall,9/1/16,0,GEO
2017,Winter,1/1/17,14,GEO
2017,Spring,4/1/17,0,GEO
2017,Fall,9/1/17,0,GEO
2018,Winter,1/1/18,14,GEO
2016,Spring,4/1/16,2,Math
2016,Fall,9/1/16,2,Math
2017,Winter,1/1/17,0,Math
2017,Spring,4/1/17,5,Math
2017,Fall,9/1/17,2,Math
2018,Winter,1/1/18,2,Math
2016,Spring,4/1/16,38,ME
2016,Fall,9/1/16,41,ME
2017,Winter,1/1/17,28,ME
2017,Spring,4/1/17,15,ME
2017,Fall,9/1/17,18,ME
2018,Winter,1/1/18,29,ME
2016,Spring,4/1/16,5,PHY
2016,Fall,9/1/16,11,PHY
2017,Winter,1/1/17,8,PHY
2017,Spring,4/1/17,0,PHY
2017,Fall,9/1/17,7,PHY
2018,Winter,1/1/18,5,PHY
