Year,Semester,Instructor,Gender,Class,HS GPA,ACT conversion,Pretest,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Final
2016,Fall ,A,Male,Junior,2.7,20,33.3333,72,72,82,76,88,
2016,Fall ,A,Male,Junior,2.95,24,26.6667,70,92,88,74,64,
2016,Fall ,A,Female,Sophomore,3.88,25,30,80,60,68,62,48,
2016,Fall ,A,Male,Senior,3.36,31,60,92,46,56,,,
2016,Fall ,A,Male,Junior,2.98,30,,74,38,80,74,96,
2016,Fall ,A,Male,Sophomore,3.94,23,51.6667,90,92,84,82,86,
2016,Fall ,A,Male,Junior,2.8,19,30,90,88,72,76,70,
2016,Fall ,A,Male,Sophomore,3.05,21,,86,80,92,52,64,
2016,Fall ,A,Male,Sophomore,3.15,21,38.3333,86,70,86,58,44,
2016,Fall ,A,Male,Sophomore,3.65,24,38.3333,78,76,78,74,84,
2016,Fall ,A,Male,Senior,3.03,26,65,80,70,64,72,50,
2016,Fall ,A,Female,Junior,3.76,24,31.6667,90,78,92,70,76,
2016,Fall ,A,Male,Junior,3.1,,31.6667,64,60,68,62,58,
2016,Fall ,A,Male,Junior,2.8,13,33.3333,46,44,56,42,,
2016,Fall ,A,Female,Junior,3.6,20,35,58,76,70,62,60,
2016,Fall ,A,Male,Senior,3.64,26,50,94,88,86,92,86,
2016,Fall ,A,Male,Freshman,3.53,21,18.3333,82,84,68,20,32,
2016,Fall ,A,Female,Sophomore,3.19,24,40,74,88,82,74,70,
2016,Fall ,A,Male,Senior,3.28,29,45,98,96,88,92,86,
2016,Fall ,A,Male,Junior,3.53,26,40,82,82,72,60,68,
2016,Fall ,A,Male,Senior,3.57,23,50,84,82,76,76,76,
2016,Fall ,A,Female,Sophomore,3.48,24,26.6667,60,68,60,48,34,
2016,Fall ,A,Male,Sophomore,3.47,16,38.3333,64,84,74,44,82,
2016,Fall ,A,Male,Freshman,2.88,26,30,74,66,78,56,30,
2016,Fall ,A,Female,Non-Matriculating,,21,,82,90,90,66,90,
2016,Fall ,A,Female,Senior,3.36,23,36.6667,82,68,62,50,44,
2016,Fall ,A,Female,Sophomore,3.65,22,30,54,74,78,56,60,
2016,Fall ,A,Male,Freshman,3.28,21,35,74,56,68,54,50,
2016,Fall ,A,Male,Senior,3,26,33.3333,66,52,86,68,,
2016,Fall ,A,Female,Junior,3.45,27,50,74,86,82,68,74,
2016,Fall ,A,Male,Junior,3.62,26,36.6667,82,58,58,62,46,
2016,Fall ,A,Male,Senior,,,43.3333,96,98,92,90,98,
2016,Fall ,A,Female,Sophomore,3.16,19,33.3333,74,82,66,48,42,
2016,Fall ,A,Male,Senior,3.26,29,35,94,88,72,78,80,
2016,Fall ,A,Male,Sophomore,4,23,,94,82,80,84,80,
2016,Fall ,A,Male,Senior,3.16,26,23.3333,74,80,84,78,76,
2016,Fall ,A,Male,Junior,3.97,29,28.3333,60,72,82,76,72,
2016,Fall ,A,Male,Senior,2.97,25,31.6667,74,82,76,60,62,
2016,Fall ,A,Male,Junior,3.77,26,38.3333,56,54,54,44,36,
2016,Fall ,A,Male,Junior,3.39,21,,82,92,76,64,88,
2016,Fall ,A,Male,Freshman,2.55,19,35,42,40,52,30,,
2016,Fall ,A,Female,Freshman,3.73,20,33.3333,78,94,96,92,92,
2016,Fall ,A,Male,Freshman,3.84,23,41.6667,88,76,74,64,58,
2016,Fall ,A,Male,Junior,2.58,20,16.6667,54,82,80,72,62,
2016,Fall ,A,Female,Freshman,3.84,21,38.3333,72,84,76,70,72,
2016,Fall ,A,Female,Sophomore,3.1,17,38.3333,74,76,86,60,78,
2016,Fall ,A,Male,Senior,3.17,19,33.3333,84,76,78,84,86,
2016,Fall ,A,Male,Senior,,25,35,86,96,82,90,76,
2016,Fall ,A,Male,Junior,,,25,98,84,78,86,90,
2016,Fall ,A,Male,Senior,3.63,33,,90,80,86,84,96,
2016,Fall ,A,Female,Junior,3.72,28,38.3333,92,94,84,76,68,
2016,Fall ,A,Male,Sophomore,2.69,,35,66,66,58,44,66,
2016,Fall ,A,Male,Junior,3.1,21,35,66,66,46,34,28,
2016,Fall ,A,Female,Junior,,,31.6667,70,84,64,66,64,
2016,Fall ,A,Female,Senior,3.36,19,30,58,72,76,52,64,
2016,Fall ,A,Female,Sophomore,3.95,28,48.3333,98,100,98,94,98,
2016,Fall ,A,0,0,2.9,14,33.3333,52,66,58,,,
2016,Fall ,A,Female,Junior,3.62,24,36.6667,94,76,76,78,90,
2016,Fall ,A,Male,Freshman,3.23,18,30,30,26,38,28,,
2016,Fall ,A,Male,Freshman,3.76,30,40,98,98,92,98,92,
2016,Fall ,A,Male,Senior,3.46,25,38.3333,84,94,90,88,86,
2016,Fall ,A,Male,Junior,3.21,24,,96,96,78,94,92,
2016,Fall ,A,Male,Sophomore,3.67,23,30,70,56,54,40,46,
2016,Fall ,A,Male,Senior,3.78,23,46.6667,96,100,98,100,98,
2016,Fall ,A,Male,Sophomore,3.38,22,43.3333,82,86,92,70,86,
2016,Fall ,A,Male,Junior,3.7,21,31.6667,68,76,76,70,72,
2016,Fall ,A,0,0,,,30,64,42,,,,
2016,Fall ,A,Male,Junior,3.26,18,33.3333,58,44,40,38,36,
2016,Fall ,A,Female,Sophomore,4,23,33.3333,74,76,74,54,66,
2016,Fall ,A,Male,Senior,2.42,16,33.3333,68,40,44,36,40,
2016,Fall ,A,Male,Junior,3.37,20,53.3333,94,92,74,96,88,
2016,Fall ,A,Male,Junior,3.69,21,33.3333,56,38,60,40,54,
2016,Fall ,A,Male,Junior,3.11,25,20,84,84,74,66,44,
2016,Fall ,A,Male,Sophomore,3.82,26,30,94,86,72,84,74,
2016,Fall ,A,Female,Sophomore,3.08,19,35,44,46,64,36,42,
2016,Fall ,A,Female,Non-Matriculating,3.73,30,53.3333,94,100,98,92,98,
2016,Fall ,A,Male,Sophomore,3.55,20,,66,86,66,62,80,
2016,Fall ,A,Female,Junior,3.4,28,65,86,86,82,86,88,
2016,Fall ,A,0,0,2.22,24,46.6667,80,62,,,,
2016,Fall ,A,Male,Senior,,25,45,98,94,90,76,70,
2016,Fall ,A,Female,Sophomore,3.35,25,38.3333,70,50,34,,,
2016,Fall ,A,Male,Sophomore,3.72,25,38.3333,82,78,64,86,90,
2016,Fall ,A,Female,Sophomore,3.47,23,,46,58,54,34,34,
2016,Fall ,A,Male,Sophomore,3.75,24,,80,98,84,84,90,
2016,Fall ,A,Male,Non-Matriculating,3.82,30,58.3333,100,92,76,86,62,
2016,Fall ,A,Male,Junior,3.09,24,35,94,80,88,84,82,
2016,Fall ,A,Male,Senior,3.11,26,43.3333,78,82,80,82,88,
2016,Fall ,A,Male,Sophomore,3.45,18,18.3333,52,32,64,48,50,
2016,Fall ,A,Male,Sophomore,3.54,20,21.6667,52,60,60,50,,
2016,Fall ,A,Female,Senior,3.63,24,43.3333,78,78,70,54,56,
2016,Fall ,A,Female,Senior,,,31.6667,66,78,70,68,82,
2016,Fall ,A,Male,Junior,3.59,20,31.6667,82,82,86,72,80,
2016,Fall ,A,Female,Freshman,3.9,21,26.6667,76,90,88,64,56,
2016,Fall ,A,Female,Senior,3.48,23,43.3333,82,56,70,50,,
2016,Fall ,A,Male,Junior,3.21,25,36.6667,62,52,86,48,50,
2016,Fall ,A,Male,Sophomore,3.11,18,33.3333,66,26,42,,,
2016,Fall ,A,Male,Sophomore,2.88,19,30,44,18,38,,,
2016,Fall ,A,Female,Sophomore,3.46,25,41.6667,60,72,62,58,56,
2016,Fall ,A,Male,Senior,3.99,24,48.3333,84,96,98,90,96,
2016,Fall ,A,Male,Senior,3.97,26,26.6667,74,42,78,54,60,
2016,Fall ,A,Male,Sophomore,3.31,21,43.3333,,82,74,66,74,
2016,Fall ,A,Female,Freshman,2.5,18,31.6667,46,,,28,,
2016,Fall ,A,Female,Junior,2.94,19,31.6667,64,52,56,42,34,
2016,Fall ,B,Male,Sophomore,3.36,23,26.6667,64,25,58,68,82,
2016,Fall ,B,Female,Sophomore,3.2,26,,48,24,54,44,,
2016,Fall ,B,Male,Sophomore,2.11,23,23.3333,88,48,92,84,74,
2016,Fall ,B,Male,Junior,3.66,23,26.6667,76,39,82,54,62,
2016,Fall ,B,Male,Sophomore,3.88,27,46.6667,90,38,82,80,64,
2016,Fall ,B,Female,Junior,3.5,20,40,54,28,56,38,58,
2016,Fall ,B,Male,Freshman,3.15,16,26.6667,62,28,58,,,
2016,Fall ,B,Female,Junior,3.9,23,31.6667,82,40,70,78,76,
2016,Fall ,B,0,0,,20,,58,30,72,,,
2016,Fall ,B,Female,Senior,3.05,21,,76,27,82,64,68,
2016,Fall ,B,Male,Senior,3.63,21,48.3333,90,49,82,88,92,
