Year,Semester,Instructor,Gender,Class,Course Average*,Reading Score,Reading Progress
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,NonMatriculating,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Sophomore,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Sophomore,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Male,Senior,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Female,Junior,,,
2018,Fall,A,Male,Junior,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,A,Male,Freshman,,,
2018,Fall,A,Female,Freshman,,,
2018,Fall,C,Male,Sophomore,,,
2018,Fall,C,Male,Freshman,,,
2018,Fall,C,Female,Freshman,,,
2018,Fall,C,Male,Freshman,,,
2018,Fall,C,Female,Junior,,,
2018,Fall,C,Female,Freshman,,,
2018,Fall,C,Female,Sophomore,,,
2018,Fall,C,Male,Freshman,,,
2018,Fall,C,Male,Freshman,,,
