Year,Semester,Instructor,Gender,Class,Course Average*,Reading Score,Reading Progress
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Female,Senior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Senior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Senior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Senior,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Senior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Senior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Sophomore,,,
