"","Year","Semester","Instructor","Gender","Class","Pretest","Final","Exam1","Exam2","Exam3","Exam4","Exam5","Average","HSACT"
"1",2017,"Winter","A","Female","Freshman",38,47,74,44,56,53,36,51.6666666666667,3.22388888888889
"2",2017,"Winter","A","Male","Junior",52,77,88,88,90,85,88,86,2.38055555555556
"3",2017,"Winter","A","Male","Senior",52,88,90,100,90,80,84,88.6666666666667,3.18222222222222
"4",2017,"Winter","A","Male","Junior",33,63,74,64,78,58,56,65.5,2.92777777777778
"5",2017,"Winter","A","Male","Sophomore",23,80,72,84,94,73,86,81.5,2.79166666666667
"6",2017,"Winter","A","Female","Junior",37,67,80,88,84,73,76,78,3.00666666666667
"7",2017,"Winter","A","Female","Sophomore",32,78,88,84,80,76,82,81.3333333333333,3.24277777777778
"8",2017,"Winter","A","Male","Freshman",27,33,56,42,58,36,32,42.8333333333333,2.34722222222222
"9",2017,"Winter","A","Male","Sophomore",37,28,60,66,74,42,32,50.3333333333333,2.52
"10",2017,"Winter","A","Male","Senior",27,48,60,64,78,33,34,52.8333333333333,2.44444444444444
"11",2017,"Winter","A","Female","Junior",37,58,68,56,56,42,40,53.3333333333333,2.50611111111111
"12",2017,"Winter","A","Male","Sophomore",32,38,76,80,52,31,82,59.8333333333333,3.13277777777778
"13",2017,"Winter","A","Male","Sophomore",38,75,90,78,92,78,82,82.5,2.88277777777778
"14",2017,"Winter","A","Male","Junior",32,32,68,48,74,51,44,52.8333333333333,3.12777777777778
"15",2017,"Winter","A","Male","Sophomore",40,45,74,46,68,36,34,50.5,2.99166666666667
"16",2017,"Winter","A","Male","Senior",43,82,88,66,94,65,66,76.8333333333333,3.20333333333333
"17",2017,"Winter","A","Male","Senior",65,92,92,100,96,89,92,93.5,2.97611111111111
"18",2017,"Winter","A","Male","Junior",28,88,96,80,78,75,68,80.8333333333333,3.29388888888889
"19",2017,"Winter","A","Female","Senior",30,82,86,82,90,89,76,84.1666666666667,2.77444444444444
