"","Year","Semester","Instructor","Gender","Class","Average","courseavg"
"1",2018,"Fall","A","Female","Sophomore",93,0
"2",2018,"Fall","A","Female","Freshman",88.8333333333333,0
"3",2018,"Fall","A","Female","Freshman",75.3333333333333,0
"4",2018,"Fall","A","Female","Freshman",62.1666666666667,0
"5",2018,"Fall","A","Male","Senior",80.8333333333333,0
"6",2018,"Fall","A","Female","Freshman",91,0
"7",2018,"Fall","A","Female","Freshman",71.6666666666667,0
"8",2018,"Fall","A","Male","Freshman",77,0
"9",2018,"Fall","A","Female","Junior",52.5,0
"10",2018,"Fall","A","Male","Sophomore",94.6666666666667,0
"11",2018,"Fall","A","Female","Freshman",91.8333333333333,0
"12",2018,"Fall","A","Male","Freshman",81.1666666666667,0
"13",2018,"Fall","A","Female","Sophomore",88.1666666666667,0
"14",2018,"Fall","A","Male","Freshman",78.1666666666667,0
"15",2018,"Fall","A","Female","Sophomore",69.3333333333333,0
"16",2018,"Fall","A","Female","Freshman",58.8333333333333,0
"17",2018,"Fall","A","Female","Freshman",45,0
"18",2018,"Fall","A","Female","Junior",49,0
"19",2018,"Fall","A","Male","Freshman",69,0
"20",2018,"Fall","A","Male","Junior",77.3333333333333,0
"21",2018,"Fall","A","Female","Freshman",68,0
"22",2018,"Fall","A","Male","Freshman",43.6666666666667,0
"23",2018,"Fall","A","Male","Freshman",69.6666666666667,0
"24",2018,"Fall","A","Male","Sophomore",90,0
"25",2018,"Fall","A","Female","Freshman",88.6666666666667,0
"26",2018,"Fall","A","Male","Freshman",91.3333333333333,0
"27",2018,"Fall","A","Male","Junior",71.6666666666667,0
"28",2018,"Fall","A","Female","Freshman",71.8333333333333,0
"29",2018,"Fall","A","Male","Freshman",59.3333333333333,0
"30",2018,"Fall","A","Female","Freshman",74.8333333333333,0
"31",2018,"Fall","A","Male","Freshman",90,0
"32",2018,"Fall","A","Female","Freshman",72.6666666666667,0
"33",2018,"Fall","A","Male","Senior",79.8333333333333,0
"34",2018,"Fall","A","Male","Freshman",89.3333333333333,0
"35",2018,"Fall","A","Female","Junior",94,0
"36",2018,"Fall","A","Female","Freshman",88.6666666666667,0
"37",2018,"Fall","A","Male","Freshman",85.6666666666667,0
"38",2018,"Fall","A","Male","Sophomore",84.8333333333333,0
