section,name
SE,Intro to Software Development using C++
SE,Object-Oriented Development using C++
SE,Software Design and Development using Java
SE,Introduction to Programming for IT
SE,System Security
SE,Senior Practicum
SE,Senior Project
CE,Intro to Engineering (Mechanical and Electrical)
CE,Embedded Systems
CE,Advanced Embedded Systems
CE,Microprocessor Based-System Design
CE,Digital System Design
CE,Computer Architecture
CE,Electric Circuit Analysis 
CE,Electronic Devices and Circuits
DS,Database Design and Development
DS,Data Intuition and Insight
DS,Data Wrangling and Visualization
DS,Machine Learning and Data Mining
GMS,Foundations of Science
GMS,Introduction to Chemistry
GMS,PreCalculus
GMS,Differential Calculus
GMS,Linear Algebra
GMS,Discrete Math 
GMS,Intermediate Statistics
GP,Intro to Programming using Python
GP,Object-Oriented Programming with Data Structures
GP,Intro to Computer Science and Engineering
GP,Fundamentals of Digital Systems with Lab
GP,Introduction to Databases using SQL
GP,Web Design and Development
GP,Project Management
GE,Introduction to the Visual Arts and Design
GE,Family and Human Relations
GE,Writing and Reasoning
GE,Technical Communication
HS,Geometry Honors
HS,Algebra 2 Accelerated 
HS,PreCalculus Honors
HS,AP Calculus 
HS,AP Chemistry
HS,AP Physics 1 & 2
HS,AP Art 2-D Design (Photography)
HS,Introduction to Computer Science using C++
HS,Introduction to Engineering
LL,Responible AI Algorithm Design
LL,5 Tips for Building Your Financial Life
LL,5 Personal Finance Tips
LL,Building Relationships While Working from Home
LL,Professional Networking
