name,number,link
HTML,1014-7632512,https://www.sololearn.com/Certificate/1014-7632512/pdf
CSS,1023-7632512,https://www.sololearn.com/Certificate/1023-7632512/pdf
JavaScript,7632512-1024,https://www.sololearn.com/certificates/course/en/7632512/1024/landscape/pdf
jQuery,1082-7632512,https://www.sololearn.com/Certificate/1082-7632512/pdf
React + Redux,1097-7632512,https://www.sololearn.com/Certificate/1097-7632512/pdf
Angular + NestJS,,
PHP,1059-7632512,https://www.sololearn.com/Certificate/1059-7632512/pdf
Ruby,,
SQL,,
C,,
C++,,
C#,,
Java,,
Kotlin,,
Swift 4,,
Python for Beginners,7632512-1157,https://www.sololearn.com/certificates/course/en/7632512/1157/landscape/pdf
Intermediate Python,,
Python Data Structures,,
Python Core,,
DS with Python,,
Machine Learning,,
